id;region;customer_lifetime_value;response;coverage;education;effective_to_date;month;employment_status;gender;income;location_code;marital_status;monthly_premium_auto;months_since_last_claim;months_since_policy_inception;number_of_open_complaints;number_of_policies;policy_type;policy;renew_offer_type;sales_channel;total_claim_amount;vehicle_class;vehicle_size
1;central;4809;no;basic;college;18/02/11;feb;employed;m;48029;suburban;married;61;7;52;0;9;corporate auto;corporate l3;offer3;agent;292;four-door car;medsize
2;west region;2228;no;basic;college;18/01/11;jan;unemployed;f;92260;suburban;single;64;3;26;0;1;personal auto;personal l3;offer4;call center;744;four-door car;medsize
3;east;14947;no;basic;bachelor;10/02/11;feb;employed;m;22139;suburban;single;100;34;31;0;2;personal auto;personal l3;offer3;call center;480;suv;medsize
4;north west;22332;yes;extended;college;11/01/11;jan;employed;m;49078;suburban;single;97;10;3;0;2;corporate auto;corporate l3;offer2;branch;484;four-door car;medsize
5;north west;9025;no;premium;bachelor;17/01/11;jan;medical leave;f;23675;suburban;married;117;33;31;0;7;personal auto;personal l2;offer1;branch;707;four-door car;medsize
6;west region;4745;yes;basic;high school or below;14/02/11;feb;employed;m;50549;suburban;divorced;61;2;73;0;7;personal auto;personal l3;offer1;agent;292;four-door car;medsize
7;west region;5035;no;basic;doctor;14/02/11;feb;employed;f;37405;urban;married;63;8;99;3;4;corporate auto;corporate l2;offer2;branch;287;four-door car;medsize
8;west region;4956;no;basic;high school or below;24/02/11;feb;employed;m;87197;urban;single;63;35;45;0;3;personal auto;personal l2;offer2;branch;247;two-door car;medsize
9;west region;5989;yes;premium;college;19/01/11;jan;employed;m;66839;suburban;single;154;33;24;0;1;personal auto;personal l1;offer2;branch;739;sports car;medsize
10;north west;17114;no;extended;master;04/01/11;jan;employed;f;70961;suburban;married;85;19;8;0;2;corporate auto;corporate l3;offer2;agent;408;four-door car;small
11;central;5154;no;extended;high school or below;02/01/11;jan;employed;m;82730;urban;married;127;13;31;0;1;corporate auto;corporate l3;offer2;branch;442;suv;large
