	index	variable	value
0	customer_lifetime_value	customer_lifetime_value	1.0
1	response	customer_lifetime_value	-0.0104564666479328
2	income	customer_lifetime_value	0.0037319434945522487
3	monthly_premium_auto	customer_lifetime_value	0.40423492391666604
4	months_since_last_claim	customer_lifetime_value	0.011912337001377546
5	months_since_policy_inception	customer_lifetime_value	0.017054661345476115
6	number_of_open_complaints	customer_lifetime_value	-0.03237110300644008
7	number_of_policies	customer_lifetime_value	0.01678871967875189
8	total_claim_amount	customer_lifetime_value	0.23284924398032492
9	customer_lifetime_value	response	-0.0104564666479328
10	response	response	1.0
11	income	response	-0.06873402298421781
12	monthly_premium_auto	response	0.014397137625300042
13	months_since_last_claim	response	-0.011777255667452703
14	months_since_policy_inception	response	-0.007698498548216743
15	number_of_open_complaints	response	-0.0029402484299312763
16	number_of_policies	response	-0.0139452850775135
17	total_claim_amount	response	0.016628120043568444
18	customer_lifetime_value	income	0.0037319434945522487
19	response	income	-0.06873402298421781
20	income	income	1.0
21	monthly_premium_auto	income	-0.002431051378064329
22	months_since_last_claim	income	-0.026563506415944693
23	months_since_policy_inception	income	0.003846311508639399
24	number_of_open_complaints	income	0.018903276338254886
25	number_of_policies	income	-0.004461438661341699
26	total_claim_amount	income	-0.11122106125728325
27	customer_lifetime_value	monthly_premium_auto	0.40423492391666604
28	response	monthly_premium_auto	0.014397137625300042
29	income	monthly_premium_auto	-0.002431051378064329
30	monthly_premium_auto	monthly_premium_auto	1.0
31	months_since_last_claim	monthly_premium_auto	0.01003575640159079
32	months_since_policy_inception	monthly_premium_auto	0.01969640529854243
33	number_of_open_complaints	monthly_premium_auto	-0.008810670654191033
34	number_of_policies	monthly_premium_auto	-0.01880455796813265
35	total_claim_amount	monthly_premium_auto	0.6301486243480394
36	customer_lifetime_value	months_since_last_claim	0.011912337001377546
37	response	months_since_last_claim	-0.011777255667452703
38	income	months_since_last_claim	-0.026563506415944693
39	monthly_premium_auto	months_since_last_claim	0.01003575640159079
40	months_since_last_claim	months_since_last_claim	1.0
41	months_since_policy_inception	months_since_last_claim	-0.03408559538015757
42	number_of_open_complaints	months_since_last_claim	0.0012040050533991971
43	number_of_policies	months_since_last_claim	0.0008139243740390112
44	total_claim_amount	months_since_last_claim	0.013873921549639295
45	customer_lifetime_value	months_since_policy_inception	0.017054661345476115
46	response	months_since_policy_inception	-0.007698498548216743
47	income	months_since_policy_inception	0.003846311508639399
48	monthly_premium_auto	months_since_policy_inception	0.01969640529854243
49	months_since_last_claim	months_since_policy_inception	-0.03408559538015757
50	months_since_policy_inception	months_since_policy_inception	1.0
51	number_of_open_complaints	months_since_policy_inception	0.0025543376439219763
52	number_of_policies	months_since_policy_inception	-0.009718595191132197
53	total_claim_amount	months_since_policy_inception	0.004185949261966921
54	customer_lifetime_value	number_of_open_complaints	-0.03237110300644008
55	response	number_of_open_complaints	-0.0029402484299312763
56	income	number_of_open_complaints	0.018903276338254886
57	monthly_premium_auto	number_of_open_complaints	-0.008810670654191033
58	months_since_last_claim	number_of_open_complaints	0.0012040050533991971
59	months_since_policy_inception	number_of_open_complaints	0.0025543376439219763
60	number_of_open_complaints	number_of_open_complaints	1.0
61	number_of_policies	number_of_open_complaints	-0.0003033052066208039
62	total_claim_amount	number_of_open_complaints	-0.010667523234571825
63	customer_lifetime_value	number_of_policies	0.01678871967875189
64	response	number_of_policies	-0.0139452850775135
65	income	number_of_policies	-0.004461438661341699
66	monthly_premium_auto	number_of_policies	-0.01880455796813265
67	months_since_last_claim	number_of_policies	0.0008139243740390112
68	months_since_policy_inception	number_of_policies	-0.009718595191132197
69	number_of_open_complaints	number_of_policies	-0.0003033052066208039
70	number_of_policies	number_of_policies	1.0
71	total_claim_amount	number_of_policies	-0.008018893616695447
72	customer_lifetime_value	total_claim_amount	0.23284924398032492
73	response	total_claim_amount	0.016628120043568444
74	income	total_claim_amount	-0.11122106125728325
75	monthly_premium_auto	total_claim_amount	0.6301486243480394
76	months_since_last_claim	total_claim_amount	0.013873921549639295
77	months_since_policy_inception	total_claim_amount	0.004185949261966921
78	number_of_open_complaints	total_claim_amount	-0.010667523234571825
79	number_of_policies	total_claim_amount	-0.008018893616695447
80	total_claim_amount	total_claim_amount	1.0
