,0
0,2gyxAWHebV7xPYVxqoi86f
1,2IGMVunIBsBLtEQyoI1Mu7
2,1BxfuPKGuaTgP7aM0Bbdwr
3,1vYXt7VSjH9JIM5oRRo7vA
4,7x9aauaA9cu6tyfpHnqDLo
5,67nepsnrcZkowTxMWigSbb
6,4367dXCt02KMgELPisJ2D4
7,1L0OmJV0LnPDWuHCIGmBV6
8,4YQImHflXSiIMXntcwPkx8
9,2IGMVunIBsBLtEQyoI1Mu7
10,2GAqIzPU7v3kfvY4hZQ9jm
11,4bARASJEokNacSYtEhoNBp
12,59uQI0PADDKeE6UZDTJEe8
13,7qaMlLPdwNiiU1Uiy1oAdO
14,2KtGiBi5CrX2ERPD2PAS34
15,3XB5uhhlYSnkxpSihkNQwh
16,6XbtvPmIpyCbjuT0e8cQtp
17,7ABLbnD53cQK00mhcaOUVG
18,7ro0hRteUMfnOioTFI5TG1
19,0QRHOAeU8JRaVVn3UoZBih
20,4YQImHflXSiIMXntcwPkx8
21,2gyxAWHebV7xPYVxqoi86f
22,39fD0qvjgk8RarJnoBiDTx
23,1exDZN0zsfDpsIKamOqmSz
24,7CYYZVnDYoUtNlSxNNz4P9
25,5hFkGfx038V0LhqI0Uff2J
26,3RI7rnK1YgmyRcXq9pkMqQ
27,7hVcd9PDdO0xK8vE3WQqnV
28,6fjZ39b5dT9uZzFsVRLwSi
29,1b1A6Z7pI8myEX3TSyweOk
30,6sg284TefDkBpFh0317Agp
31,58WSKtcvVt208XY8tolYQI
32,7DswEZZthZ6piQpL25qGAM
33,0J1YRLYhTG1MBosjidD7OI
34,66PVdnWWemyJbvScVS6vJ0
35,5EWPGh7jbTNO2wakv8LjUI
36,7snQQk1zcKl8gZ92AnueZW
37,1bp2IO61zbQrbWNmKKxg3f
38,0ofHAoxe9vBkTCp2UQIavz
39,7tFiyTwD0nx5a1eklYtX2J
40,7mobUfp1aL8A6CdugCMWft
41,1aNUSKBe6UMyMk3pEu9ws7
42,4heve4ydl1u6V3AD4moZq9
43,6tifCCTIVBLC2TmTquYG7G
44,59NraMJsLaMCVtwXTSia8i
45,0daHbdrLvUmkh81rnolMcG
46,3tNMdL4qjzNHfo7rlVMESK
47,3l6RgZRKf4FfSc2FJlesEL
48,6vWu5uWlox5TVDPl3LvoG3
49,7505qe0xzCuDPaILCURnOC
50,2gyxAWHebV7xPYVxqoi86f
51,4YQImHflXSiIMXntcwPkx8
52,5h1BN75CEh8wdSwE1xrbSe
53,5WZlorRUxgryaweu7kqeHd
54,4heve4ydl1u6V3AD4moZq9
55,7mobUfp1aL8A6CdugCMWft
56,3tNMdL4qjzNHfo7rlVMESK
57,41WQUSINanQHfhfKpFDsms
58,6iF4RgIjDvDqyW13PezSj3
59,1vYXt7VSjH9JIM5oRRo7vA
